Team,Date,ELO,,,
BOS,2/21/14,1374.420751,,,
BOS,2/22/14,1366.685582,,,
BOS,2/24/14,1356.011883,,,
BOS,2/26/14,1369.975516,,,
BOS,3/1/14,1367.40047,,,
BOS,3/5/14,1360.212811,,,
BOS,3/7/14,1373.205419,,,
BOS,3/9/14,1381.259037,,,
BOS,3/11/14,1375.539494,,,
BOS,3/12/14,1361.461309,,,
BOS,3/14/14,1356.761974,,,
BOS,3/16/14,1353.005261,,,
BOS,3/17/14,1349.40149,,,
BOS,3/19/14,1364.508089,,,
BOS,3/21/14,1356.1029,,,
BOS,3/26/14,1351.51037,,,
BOS,3/28/14,1349.078766,,,
BOS,3/30/14,1345.62782,,,
BOS,3/31/14,1338.857203,,,
BOS,4/2/14,1326.817746,,,
BOS,4/4/14,1315.282353,,,
BOS,4/5/14,1309.133197,,,
BOS,4/9/14,1302.457032,,,
BOS,4/11/14,1312.271229,,,
BOS,4/12/14,1328.713921,,,
BOS,4/14/14,1319.806159,,,
BOS,4/16/14,1313.041922,,,
BOS,10/28/15,1505.191383,,,
BOS,10/30/15,1489.958901,,,
BOS,11/1/15,1494.551665,,,
BOS,11/4/15,1494.802394,,,
BOS,11/6/15,1516.286887,,,
BOS,11/10/15,1511.114416,,,
BOS,11/11/15,1489.714471,,,
BOS,11/15/15,1530.870951,,,
BOS,11/16/15,1530.313455,,,
BOS,11/18/15,1508.258767,,,
BOS,11/20/15,1527.069534,,,
BOS,11/22/15,1501.708899,,,
BOS,11/25/15,1499.306564,,,
BOS,11/27/15,1518.791568,,,
BOS,11/29/15,1478.269153,,,
BOS,11/30/15,1506.86906,,,
BOS,12/3/15,1507.401665,,,
BOS,12/5/15,1494.358676,,,
BOS,12/7/15,1513.062158,,,
BOS,12/9/15,1505.690241,,,
BOS,12/11/15,1494.569078,,,
BOS,12/12/15,1505.310696,,,
BOS,12/15/15,1490.067148,,,
BOS,12/16/15,1491.916428,,,
BOS,12/21/15,1497.500915,,,
BOS,12/23/15,1503.013164,,,
BOS,12/26/15,1498.702813,,,
BOS,12/27/15,1495.141364,,,
BOS,12/30/15,1479.112202,,,
BOS,1/2/16,1484.541548,,,
BOS,1/4/16,1498.261528,,,
BOS,1/6/16,1484.04421,,,
BOS,1/7/16,1482.177732,,,
BOS,1/10/16,1485.312891,,,
BOS,1/12/16,1481.161237,,,
BOS,1/13/16,1502.704902,,,
BOS,1/15/16,1499.055322,,,
BOS,1/16/16,1495.488463,,,
BOS,1/18/16,1484.159192,,,
BOS,1/20/16,1483.685573,,,
BOS,1/22/16,1501.653789,,,
BOS,1/24/16,1494.851143,,,
BOS,1/25/16,1510.841754,,,
BOS,1/27/16,1496.537965,,,
BOS,1/29/16,1501.874969,,,
BOS,1/31/16,1482.289474,,,
BOS,2/2/16,1496.057428,,,
BOS,2/3/16,1498.89963,,,
BOS,2/5/16,1496.908832,,,
BOS,2/7/16,1497.167698,,,
BOS,2/9/16,1485.891455,,,
BOS,2/10/16,1500.591724,,,
BOS,2/19/16,1475.93014,,,
BOS,2/21/16,1502.51194,,,
BOS,2/22/16,1484.218685,,,
BOS,2/25/16,1496.169648,,,
BOS,2/27/16,1502.766588,,,
BOS,2/29/16,1497.458382,,,
BOS,3/2/16,1513.129136,,,
BOS,3/4/16,1492.479732,,,
BOS,3/5/16,1480.508864,,,
BOS,3/9/16,1509.194813,,,
BOS,3/11/16,1484.969214,,,
BOS,3/15/16,1484.235619,,,
BOS,3/16/16,1479.100247,,,
BOS,3/18/16,1480.691689,,,
BOS,3/20/16,1493.45886,,,
BOS,3/21/16,1498.220017,,,
BOS,3/23/16,1506.31043,,,
BOS,3/26/16,1492.946528,,,
BOS,3/28/16,1476.20118,,,
BOS,3/31/16,1483.289641,,,
BOS,4/1/16,1502.858288,,,
BOS,4/3/16,1493.890118,,,
BOS,4/6/16,1497.879418,,,
BOS,4/8/16,1500.794874,,,
BOS,4/11/16,1471.019129,,,
BOS,4/13/16,1494.597268,,,
BOS,10/27/14,1361.031441,,,
BOS,10/29/14,1381.939356,,,
BOS,11/1/14,1375.164979,,,
BOS,11/3/14,1371.313189,,,
BOS,11/5/14,1368.3644,,,
BOS,11/7/14,1376.244348,,,
BOS,11/8/14,1388.720144,,,
BOS,11/12/14,1381.111247,,,
BOS,11/14/14,1378.000247,,,
BOS,11/17/14,1374.241911,,,
BOS,11/19/14,1380.309508,,,
BOS,11/21/14,1373.126987,,,
BOS,11/23/14,1369.714378,,,
BOS,11/28/14,1364.910069,,,
BOS,11/30/14,1360.037358,,,
BOS,12/2/14,1355.723314,,,
BOS,12/3/14,1361.963828,,,
BOS,12/5/14,1376.347929,,,
BOS,12/7/14,1391.345105,,,
BOS,12/8/14,1388.815468,,,
BOS,12/10/14,1379.562395,,,
BOS,12/12/14,1372.565313,,,
BOS,12/15/14,1380.332138,,,
BOS,12/17/14,1392.249699,,,
BOS,12/19/14,1404.732888,,,
BOS,12/21/14,1392.626605,,,
BOS,12/23/14,1384.5378,,,
BOS,12/26/14,1380.867808,,,
BOS,12/27/14,1373.727886,,,
BOS,12/31/14,1392.815058,,,
BOS,1/2/15,1385.772454,,,
BOS,1/3/15,1382.085068,,,
BOS,1/5/15,1373.423888,,,
BOS,1/7/15,1385.930533,,,
BOS,1/9/15,1380.829362,,,
BOS,1/10/15,1373.881115,,,
BOS,1/12/15,1386.646149,,,
BOS,1/14/15,1381.246261,,,
BOS,1/16/15,1373.704626,,,
BOS,1/19/15,1369.401275,,,
BOS,1/22/15,1377.745238,,,
BOS,1/23/15,1383.001726,,,
BOS,1/25/15,1381.204123,,,
BOS,1/26/15,1392.232395,,,
BOS,1/28/15,1378.470751,,,
BOS,1/30/15,1375.057,,,
BOS,2/1/15,1368.327463,,,
BOS,2/3/15,1377.456774,,,
BOS,2/4/15,1384.177517,,,
BOS,2/6/15,1389.898677,,,
BOS,2/7/15,1385.575013,,,
BOS,2/11/15,1393.772474,,,
BOS,2/20/15,1383.964174,,,
BOS,2/22/15,1373.991857,,,
BOS,2/23/15,1385.307892,,,
BOS,2/25/15,1395.112703,,,
BOS,2/27/15,1405.070328,,,
BOS,3/1/15,1402.754297,,,
BOS,3/3/15,1389.481647,,,
BOS,3/4/15,1394.7559,,,
BOS,3/6/15,1405.684152,,,
BOS,3/8/15,1397.210464,,,
BOS,3/9/15,1410.019991,,,
BOS,3/11/15,1419.648724,,,
BOS,3/13/15,1424.120104,,,
BOS,3/14/15,1432.977451,,,
BOS,3/16/15,1439.768313,,,
BOS,3/18/15,1435.775839,,,
BOS,3/20/15,1429.526721,,,
BOS,3/22/15,1421.004904,,,
BOS,3/23/15,1437.043262,,,
BOS,3/25/15,1429.841399,,,
BOS,3/27/15,1432.3009,,,
BOS,3/29/15,1426.548333,,,
BOS,3/30/15,1438.908917,,,
BOS,4/1/15,1451.471453,,,
BOS,4/3/15,1442.118731,,,
BOS,4/4/15,1447.47611,,,
BOS,4/8/15,1457.373665,,,
BOS,4/10/15,1475.012397,,,
BOS,4/12/15,1515.963741,,,
BOS,4/14/15,1520.792565,,,
BOS,4/15/15,1526.284842,,,
BOS,4/19/15,1516.564594,,,
BOS,4/21/15,1509.711013,,,
BOS,4/23/15,1503.638317,,,
BOS,4/26/15,1497.777425,,,
BOS,10/26/15,1499.583069,,,
BOS,11/13/15,1513.874238,,,
BOS,11/24/15,1497.433006,,,
BOS,12/18/15,1490.34711,,,
BOS,4/9/16,1481.196956,,,
BOS,4/16/16,1477.919997,,,
BOS,4/19/16,1466.150674,,,
BOS,4/22/16,1477.847921,,,
BOS,4/24/16,1489.970515,,,
BOS,4/26/16,1473.152002,,,
BOS,4/28/16,1464.66009,,,
BOS,10/24/16,1474.745068,,,
BOS,10/26/16,1479.403082,,,
BOS,10/27/16,1472.470664,,,
BOS,10/29/16,1482.183857,,,
BOS,11/2/16,1492.25071,,,
BOS,11/3/16,1487.364279,,,
BOS,11/6/16,1472.147747,,,
BOS,11/9/16,1452.433772,,,
BOS,11/11/16,1469.229524,,,
BOS,11/12/16,1478.116117,,,
BOS,11/14/16,1473.581311,,,
BOS,11/16/16,1481.387564,,,
BOS,11/18/16,1474.528016,,,
BOS,11/19/16,1479.613672,,,
BOS,11/21/16,1485.39767,,,
BOS,11/23/16,1494.983795,,,
BOS,11/25/16,1491.147675,,,
BOS,11/28/16,1500.706589,,,
BOS,11/30/16,1493.332089,,,
BOS,12/2/16,1498.268887,,,
BOS,12/3/16,1499.523806,,,
BOS,12/5/16,1495.966881,,,
BOS,12/7/16,1513.962096,,,
BOS,12/9/16,1508.022854,,,
BOS,12/11/16,1503.868044,,,
BOS,12/14/16,1499.066125,,,
BOS,12/16/16,1508.221996,,,
BOS,12/18/16,1517.372054,,,
BOS,12/20/16,1522.661344,,,
BOS,12/22/16,1530.980466,,,
BOS,12/23/16,1525.395512,,,
BOS,12/25/16,1530.639454,,,
BOS,12/27/16,1539.426598,,,
BOS,12/29/16,1533.835019,,,
BOS,12/30/16,1537.41753,,,
BOS,1/3/17,1549.382357,,,
BOS,1/6/17,1550.995393,,,
BOS,1/7/17,1556.749997,,,
BOS,1/10/17,1548.62794,,,
BOS,1/11/17,1556.094758,,,
BOS,1/13/17,1560.266756,,,
BOS,1/16/17,1568.163735,,,
BOS,1/18/17,1555.032687,,,
BOS,1/21/17,1548.125184,,,
BOS,1/24/17,1534.103405,,,
BOS,1/25/17,1547.662544,,,
BOS,1/27/17,1557.42651,,,
BOS,1/28/17,1561.737108,,,
BOS,1/30/17,1565.66242,,,
BOS,2/1/17,1572.243371,,,
BOS,2/3/17,1574.567122,,,
BOS,2/5/17,1580.961971,,,
BOS,2/8/17,1562.749685,,,
BOS,2/9/17,1569.940642,,,
BOS,2/11/17,1580.123465,,,
BOS,2/13/17,1588.484994,,,
BOS,2/15/17,1591.250858,,,
BOS,2/16/17,1586.335189,,,
BOS,2/24/17,1575.038586,,,
BOS,2/26/17,1580.341737,,,
BOS,2/27/17,1564.417488,,,
BOS,3/1/17,1571.862009,,,
BOS,3/3/17,1576.390775,,,
BOS,3/5/17,1569.040598,,,
BOS,3/6/17,1555.934401,,,
BOS,3/8/17,1579.551418,,,
BOS,3/10/17,1560.424589,,,
BOS,3/12/17,1570.810984,,,
BOS,3/15/17,1580.347022,,,
BOS,3/17/17,1581.649059,,,
BOS,3/19/17,1571.355004,,,
BOS,3/20/17,1580.108683,,,
BOS,3/22/17,1586.646985,,,
BOS,3/24/17,1589.328313,,,
BOS,3/26/17,1594.579863,,,
BOS,3/29/17,1588.496428,,,
BOS,3/31/17,1589.781583,,,
BOS,4/2/17,1594.675985,,,
BOS,4/5/17,1576.818636,,,
BOS,4/6/17,1566.281435,,,
BOS,4/8/17,1572.488033,,,
BOS,4/10/17,1575.742131,,,
BOS,4/12/17,1585.755524,,,
BOS,4/16/17,1579.088188,,,
BOS,4/18/17,1565.855814,,,
BOS,4/21/17,1579.137379,,,
BOS,4/23/17,1587.094289,,,
BOS,4/26/17,1594.927294,,,
BOS,4/28/17,1607.380888,,,
BOS,4/30/17,1616.381422,,,
BOS,5/2/17,1623.799054,,,
BOS,5/4/17,1600.34409,,,
BOS,5/7/17,1583.42469,,,
BOS,5/10/17,1599.550694,,,
BOS,5/12/17,1595.223587,,,
BOS,5/15/17,1603.929595,,,
BOS,5/17/17,1592.846702,,,
BOS,5/19/17,1567.951155,,,
BOS,5/21/17,1575.366367,,,
BOS,5/23/17,1564.982515,,,
BOS,5/25/17,1547.599536,,,
BRK,10/28/13,1548.436475,,,
BRK,10/30/13,1540.281102,,,
BRK,11/1/13,1546.178729,,,
